filename	size_in_bytes	sha256	md5	uncompressed_size_in_bytes	tissue
L1000_LINCS_DCIC_GTEX-XYKS-2626.tsv.gz	125324	10c4beb07172998f4b2d15e01f2d074230aae4378c3574c1719dedd81761d0c4	46137b966650946f91ef30122469f367	311150	Artery - Tibial
L1000_LINCS_DCIC_GTEX-XMK1-0001.tsv.gz	123981	c516e400793966ba08ecd7fda6bdf738d6e69f1a1841ab20416e419d2e193109	c467c0e7f82df10bff844873b22d2b9c	311387	Cells - EBV-transformed lymphocytes
L1000_LINCS_DCIC_GTEX-XBEW-0626.tsv.gz	123242	4eb3d9619f4c31d6acc9cda172e9a074fad91be6137f366dc7d94c963e1c2e88	7e59021cc0d703ca7274a8d423578b42	310961	Skin - Sun Exposed (Lower leg)
L1000_LINCS_DCIC_GTEX-POYW-0008.tsv.gz	123625	cdd899c86187e4ce4993fc87a1391afb0abf01c5ce6532ad3bf9b009c5b514f5	5d462f20934acb849770ccb100cd7eb2	311218	Cells - Transformed fibroblasts
L1000_LINCS_DCIC_GTEX-RNOR-0126.tsv.gz	124721	0bac7fd41afc2436e80555492b5d5f05348fecd323b0f3aa818bddccaceeec71	55fe2adf3a62f7c5219a6f056c4b8ab2	311029	Skin - Sun Exposed (Lower leg)
L1000_LINCS_DCIC_GTEX-QDT8-2926.tsv.gz	123461	4dd464e61493b3dd1918de96e478b6db7e2acecdcf36b4a2937a78d54525898b	87c9153b7b341383820328dd39b762ef	310744	Brain - Cortex
L1000_LINCS_DCIC_GTEX-QEG4-0126.tsv.gz	123546	925377d6155a18a1813bff46314fe821585c648d57068f7c20b85f25bc84a70a	8b23101c0edf1b794c8addee2fd7b14a	311289	Testis
L1000_LINCS_DCIC_GTEX-P78B-0008.tsv.gz	123843	6b6ec6d2312f3907db51e84d3b203536a9536880843d36f8c4650c20e47bda81	4371104f61fbf612e00b97197821edcf	311411	Cells - Transformed fibroblasts
L1000_LINCS_DCIC_GTEX-QEG5-0126.tsv.gz	123763	e529a898f6f36c145a417c9de8de953e3e4c3bd232844360c11f263db6e171b2	6b18c365cf1e3d64dba96a75ff56472f	311410	Testis
L1000_LINCS_DCIC_GTEX-SN8G-1526.tsv.gz	125247	1a819aa7fe395fd3b40a8140ccc41a19ce8660f2a05fc912da1471787d01d749	b890205edcb78a2536567b23bf1e1665	311243	Thyroid
L1000_LINCS_DCIC_GTEX-O5YV-1626.tsv.gz	123530	c8e2d6b58f4c30b750bef424d73ef123345e07500ab8d1ebf0685ae3e993d91e	e4fe57dd06e7a3cfd1777d01a31ff32a	310766	Artery - Tibial
L1000_LINCS_DCIC_GTEX-ZTX8-1326.tsv.gz	124374	cb5c3ef8d3b6034346f3de6b5b19a1927ca1e7f8dd09cc96f91b914ab7cdad32	cb9b27b2edd3b02b080c660dea7c4b6b	310632	Skin - Not Sun Exposed (Suprapubic)
L1000_LINCS_DCIC_GTEX-PLZ6-0626.tsv.gz	125245	d5a888f9b24bae3898f92619e03d0ebe0ad3a4c2cde953e459fbc74952c2a4f3	fcff1d00818e9fe92e42b8f0988ad1f6	311274	Esophagus - Muscularis
L1000_LINCS_DCIC_GTEX-WH7G-0426.tsv.gz	124238	d4193f58cb7bfa0b99d617babbdf0bbd8b4a2a72723aad4cd7fbf712496820fe	e7a9905669fa97d588ee180cfd7e5122	311439	Heart - Left Ventricle
L1000_LINCS_DCIC_GTEX-S4Q7-1626.tsv.gz	125451	3ce747b01ff2b090755fad2306782c8aa6199f58a3d3d2010b1f9f63cd36390a	0e2c1ab686791aaed6b94cbe8665bff5	310724	Adipose - Subcutaneous
L1000_LINCS_DCIC_GTEX-YEC4-1826.tsv.gz	123150	bbb8b891c92696e5ddbcb0578906f2533da7c79bd6961c7199aaad6b273ed6b6	a5d9ff9e25de47a140e122a1301efe0e	310826	Skin - Not Sun Exposed (Suprapubic)
